timestamps,PPG1,PPG2,PPG3
1685718357.358,1821.000,106397.000,61042.000
1685718357.358,1811.000,106412.000,61044.000
1685718357.358,1814.000,106358.000,61040.000
1685718357.358,1812.000,106309.000,61015.000
1685718357.358,1809.000,106323.000,61028.000
1685718357.449,1814.000,106294.000,60999.000
1685718357.449,1805.000,106301.000,60992.000
1685718357.449,1810.000,106281.000,61012.000
1685718357.449,1806.000,106295.000,61016.000
1685718357.449,1811.000,106274.000,61016.000
1685718357.449,1807.000,106292.000,61026.000
1685718357.553,1807.000,106296.000,61016.000
1685718357.553,1807.000,106267.000,61010.000
1685718357.553,1801.000,106305.000,61013.000
1685718357.553,1805.000,106297.000,61035.000
1685718357.553,1801.000,106217.000,61019.000
1685718357.553,1810.000,106250.000,61035.000
1685718357.644,1805.000,106276.000,61042.000
1685718357.644,1805.000,106285.000,61041.000
1685718357.644,1807.000,106290.000,61046.000
1685718357.644,1803.000,106270.000,61036.000
1685718357.644,1807.000,106329.000,61071.000
1685718357.644,1806.000,106302.000,61063.000
1685718357.734,1810.000,106327.000,61065.000
1685718357.734,1806.000,106324.000,61086.000
1685718357.734,1808.000,106354.000,61066.000
1685718357.734,1806.000,106325.000,61077.000
1685718357.734,1805.000,106377.000,61076.000
1685718357.734,1808.000,106397.000,61094.000
1685718357.823,1805.000,106391.000,61098.000
1685718357.823,1810.000,106365.000,61104.000
1685718357.823,1803.000,106421.000,61102.000
1685718357.823,1813.000,106416.000,61105.000
1685718357.823,1806.000,106437.000,61103.000
1685718357.823,1808.000,106488.000,61136.000
1685718357.928,1808.000,106478.000,61131.000
1685718357.928,1809.000,106502.000,61146.000
1685718357.928,1809.000,106497.000,61146.000
1685718357.928,1807.000,106531.000,61153.000
1685718357.928,1815.000,106481.000,61154.000
1685718357.928,1806.000,106493.000,61105.000
1685718358.019,1812.000,106446.000,61119.000
1685718358.019,1806.000,106431.000,61121.000
1685718358.019,1806.000,106395.000,61123.000
1685718358.019,1805.000,106411.000,61124.000
1685718358.019,1798.000,106412.000,61101.000
1685718358.019,1808.000,106387.000,61094.000
1685718358.108,1803.000,106381.000,61083.000
1685718358.108,1809.000,106336.000,61093.000
1685718358.108,1803.000,106307.000,61082.000
1685718358.108,1805.000,106235.000,61059.000
1685718358.108,1808.000,106243.000,61076.000
1685718358.108,1802.000,106251.000,61070.000
1685718358.198,1804.000,106242.000,61098.000
1685718358.198,1799.000,106281.000,61091.000
1685718358.198,1811.000,106305.000,61085.000
1685718358.198,1802.000,106307.000,61080.000
1685718358.198,1806.000,106265.000,61096.000
1685718358.198,1802.000,106253.000,61091.000
